,CUSTOMER_SK,NumProducts,DistinctProducts,Revenue,TotalNoOfVisits,Recency,AvgSpend,CITY_NM,CUSTOMER_TYPE_CD,ckm$cluster
2,37143973,2006,545,6194.90862,68,134,91.10159735,HALIFAX,A,2
3,60434066,1846,555,6068.58859,79,1,76.81757709,HALIFAX,A,2
4,64947261,1685,289,5760.74962,205,1,28.10121766,HALIFAX,A,2
5,64593270,1560,766,5619.1092,138,3,40.71818261,HALIFAX,A,2
6,28313518,1316,401,5123.06845,29,136,176.6575328,HALIFAX,A,2
7,61056436,1416,408,5045.31831,25,1,201.8127324,HALIFAX,A,2
8,59564026,1236,527,4734.23892,37,1,127.9524032,HALIFAX,A,2
9,59427755,1209,320,4640.33894,23,1,201.753867,HALIFAX,A,2
10,40180526,1487,439,4587.13994,80,4,57.33924925,HALIFAX,A,2
11,61044591,1223,449,4347.7692,51,2,85.25037647,HALIFAX,A,2
12,28210412,1180,448,4328.36926,34,136,127.3049782,HALIFAX,A,2
13,21159049,1074,570,4262.59923,51,135,83.58037706,HALIFAX,A,2
14,59564457,1081,348,4243.6889,104,1,40.80470096,HALIFAX,A,2
15,22283241,996,482,4157.08901,31,136,134.0996455,HALIFAX,A,2
16,59428177,1057,567,4140.61963,44,1,94.10499159,HALIFAX,A,2
17,52236223,1157,578,4135.97949,140,135,29.54271064,,A,2
18,21155117,1154,402,4128.70953,53,134,77.90017981,HALIFAX,A,2
19,21703010,1113,457,4063.00906,50,134,81.2601812,HALIFAX,A,2
20,59427796,1207,408,3982.31922,44,7,90.507255,HALIFAX,A,2
21,37161495,1060,434,3978.33921,30,135,132.611307,HALIFAX,A,2
22,22114258,1210,372,3963.84938,27,134,146.8092363,HALIFAX,A,2
23,58907751,1060,432,3952.59934,117,2,33.78290034,HALIFAX,A,2
24,21472963,1060,467,3943.09947,103,134,38.28251913,HALIFAX,A,2
25,61765847,1154,445,3934.33918,41,4,95.9594922,HALIFAX,A,2
26,59089143,1025,395,3931.16918,56,2,70.19944964,HALIFAX,A,2
27,61154597,947,350,3884.45929,53,1,73.29168472,HALIFAX,A,2
28,59578232,1063,116,3858.0692,88,1,43.84169545,HALIFAX,A,2
29,59490408,1095,513,3847.97941,171,1,22.50280357,DARTMOUTH,A,2
30,37350043,1165,410,3791.11952,49,134,77.36978612,HALIFAX,A,2
31,21476267,996,454,3770.4396,24,138,157.10165,HALIFAX,A,2
32,59076986,846,357,3762.40918,51,2,73.77272902,BEDFORD,A,2
33,22286370,1017,319,3736.01901,33,136,113.2126973,HALIFAX,A,2
34,58642266,1038,357,3697.38954,52,3,71.103645,HALIFAX,A,2
35,21352906,1095,405,3674.69917,64,134,57.41717453,HALIFAX,A,2
36,60540209,944,513,3668.36946,34,5,107.8932194,HALIFAX,A,2
37,22114197,985,244,3628.34884,20,136,181.417442,HALIFAX,A,2
38,20848665,842,442,3614.82917,28,136,129.1010418,HALIFAX,A,2
39,59564034,903,385,3612.24952,50,1,72.2449904,HALIFAX,A,2
40,22283800,928,270,3580.07921,104,134,34.42383856,HALIFAX,A,2
41,21703021,1200,429,3579.65984,101,135,35.44217663,HALIFAX,A,2
42,34343937,941,406,3578.17923,35,135,102.2336923,HALIFAX,A,2
43,58262625,981,508,3573.04955,36,2,99.25137639,HALIFAX,A,2
44,37153512,873,353,3560.94933,13,148,273.9191792,HALIFAX,A,2
45,58883863,940,329,3546.8893,42,4,84.44974524,HALIFAX,A,2
46,60899623,974,284,3535.82971,52,1,67.99672519,WATERLOO,A,2
47,21592137,1060,207,3514.8093,124,135,28.34523629,HALIFAX,A,2
48,60676826,873,387,3502.5595,29,5,120.7779138,HALIFAX,A,2
49,22283251,912,372,3502.00963,50,134,70.0401926,HALIFAX,A,2
50,36338607,974,437,3491.17958,139,134,25.11639986,DARTMOUTH,A,2
51,58392864,810,412,3485.77919,31,1,112.44449,HALIFAX,A,2
52,20739146,848,377,3480.26925,34,136,102.3608603,HALIFAX,A,2
53,21444732,890,311,3427.39945,40,134,85.68498625,HALIFAX,A,2
54,62301350,856,318,3405.62907,22,9,154.8013214,HALIFAX,A,2
55,61045226,853,427,3393.20952,22,1,154.2367964,HALIFAX,A,2
56,58452703,972,368,3383.81953,32,2,105.7443603,HALIFAX,A,2
57,59564442,877,296,3365.8795,57,1,59.05051754,HALIFAX,A,2
58,59793790,810,120,3365.59892,47,1,71.60848766,HALIFAX,A,4
59,20693643,976,530,3291.67957,39,137,84.40204026,HALIFAX,A,2
60,58240099,877,374,3287.16933,38,2,86.50445605,HALIFAX,A,2
61,20943825,910,259,3232.97987,49,136,65.97918102,HALIFAX,A,2
62,58338429,831,407,3232.75935,29,6,111.4744603,HALIFAX,A,2
63,59566489,830,282,3220.44926,27,1,119.2758985,HALIFAX,A,2
64,58870832,793,324,3212.98933,18,13,178.4994072,HALIFAX,A,2
65,25336169,735,295,3206.13924,22,135,145.7336018,HALIFAX,A,2
66,59913622,912,367,3205.26965,34,3,94.27263676,HALIFAX,A,2
67,22283257,812,355,3182.57934,45,149,70.72398533,HALIFAX,A,2
68,58983956,903,438,3178.72957,48,2,66.22353271,HALIFAX,A,2
69,59057988,880,443,3177.80953,31,13,102.5099848,HALIFAX,A,2
70,21688234,696,352,3165.03943,36,134,87.91776194,BEDFORD,A,2
71,23722085,915,336,3162.57947,26,135,121.6376719,HALIFAX,A,2
72,58239439,880,389,3162.10927,70,5,45.17298957,HALIFAX,A,2
73,59691053,864,449,3154.81944,87,1,36.26229241,HALIFAX,A,2
74,21123217,754,351,3132.05921,38,158,82.42261079,HALIFAX,A,2
75,58645662,774,438,3129.26949,40,1,78.23173725,HALIFAX,A,2
76,58613964,740,370,3121.46915,38,1,82.143925,HALIFAX,A,2
77,36769106,787,415,3119.38948,27,138,115.5329437,HALIFAX,A,2
78,39937223,822,256,3117.65943,21,140,148.4599729,HALIFAX,A,2
79,22206723,827,401,3107.53948,47,137,66.11786128,HALIFAX,A,2
80,38983543,866,467,3104.50965,105,135,29.56675857,HALIFAX,A,2
81,59039674,969,382,3101.1295,71,4,43.67788028,HALIFAX,A,2
82,21701323,773,306,3096.66899,39,134,79.40176897,HALIFAX,A,4
83,37107316,1148,325,3096.21954,63,135,49.1463419,HALIFAX,A,2
84,58645609,762,380,3087.04943,20,9,154.3524715,HALIFAX,A,2
85,59564039,786,333,3082.34933,47,2,65.58190064,HALIFAX,A,2
86,22301160,846,116,3078.68948,62,134,49.65628194,HALIFAX,A,4
87,54013758,871,229,3044.25981,77,135,39.53584169,HALIFAX,A,4
88,60664447,769,252,3037.92891,18,3,168.7738283,NEPEAN,A,2
89,21584436,921,253,3037.67976,290,1,10.47475779,HALIFAX,A,5
90,59504665,844,232,3021.13967,81,4,37.29802062,DARTMOUTH,A,4
91,37353924,851,402,3012.20962,37,140,81.41107081,HALIFAX,A,2
92,22286348,838,348,2999.48983,66,135,45.44681561,HALIFAX,A,2
93,41538512,1018,304,2990.94934,47,135,63.63722,HALIFAX,A,2
94,39317622,818,409,2985.4198,59,134,50.60033559,HALIFAX,A,2
95,36164600,803,281,2984.84953,32,134,93.27654781,HALIFAX,A,4
96,21561441,808,384,2977.52962,43,135,69.24487488,HALIFAX,A,2
