,ITEM_SK,TotalRevenue,TransactionCount,CustomerCount,AvgPrice,Category,Department,ItemDesc,pkm$cluster
2,11740923,78940.47849,26762,7151,1.436358086,Other Fruit,Produce,Avocado Ha,6
3,11680016,72298.68816,11766,290,5.94154047,Services - ,Services,On Line Lo,6
4,11610106,59209.60202,6200,2272,9.49039808,HMR Chicken,Home Meal Re,GourmMin B,6
5,11686823,55806.38884,16244,5800,3.128515611,Eggs,Dairy,Comp Eggs ,6
6,11741143,44282.30567,8602,3515,5.144975704,Other Fruit,Produce,Red Seedle,6
7,11685694,43996.07196,4472,2505,8.248265779,Chicken,Meat,Chicken Br,1
8,11740964,40649.78793,9287,3424,3.839183816,Other Fruit,Produce,Strawberri,6
9,12518517,39994.93839,4771,1252,7.038494584,,,UNKNOWN PR,1
10,11696675,39570.41129,4207,2320,8.976952515,Beef,Meat,Lean Groun,1
11,11743201,38774.64965,17379,6173,1.954537731,Salad Items,Produce,English Cu,6
12,11611881,37650.79929,15657,5537,2.399857765,Tomatoes,Produce,Red Cluste,6
13,11741127,33671.72695,6419,2792,5.267037289,Other Fruit,Produce,Green Seed,1
14,11741816,32687.76968,9866,3842,3.008923468,Cooking Veg,Produce,Broccoli,6
15,11686839,31361.93919,8692,3493,3.225057653,Eggs,Dairy,Comp Eggs ,6
16,14388093,30793.58502,3395,1501,8.494049817,Chicken,Meat,Sensatns C,1
17,11741274,29152.35964,15394,5320,1.104522247,Citrus,Produce,Lemons Lar,6
18,11742966,28776.47994,13197,3711,2.026944452,Other Fruit,Produce,Red Seedle,6
19,11745837,28387.55971,12293,4681,2.302220159,Peppers&Hot,Produce,Red Bell S,6
20,13881134,26841.30229,3239,1543,7.920603004,Fin-Fish Fr,Seafood,Haddock Fi,1
21,11832850,26532.83014,2966,1280,8.306458181,Fin-Fish Fr,Seafood,Atl Sal Po,1
22,11639874,25791.17197,2811,1495,8.871604242,Beef,Meat,Medium Gro,1
23,11742736,24824.71947,11915,4525,2.075463005,Tomatoes,Produce,Hothouse T,6
24,11742461,24803.06974,9891,3701,2.48536546,Potatoes,Produce,Potatoes S,6
25,11600537,24395.59869,6030,2773,3.5927577,Other Fruit,Produce,Strawberri,1
26,11696680,24269.21699,4182,1954,5.205895796,Beef,Meat,Lean Groun,1
27,11659747,23618.24947,7260,2368,2.608291097,Bread Produ,Commercial B,Bens Holsu,1
28,11740989,23356.92951,6594,2476,2.999658574,Other Fruit,Produce,Blueberrie,1
29,11600129,22686.28956,7807,2788,2.892198273,Citrus,Produce,Oranges Lg,1
30,11675064,22611.79774,3893,1016,5.51849976,Milk Produc,Dairy,Farmers 1%,1
31,13797916,22274.70992,5545,2361,3.972203907,Refrigerate,Produce,Comp Baby ,1
32,11675055,21853.84803,3775,959,5.518954606,Milk Produc,Dairy,Farmers 2%,1
33,11697918,21466.73998,8264,3415,2.316581274,Mushrooms,Produce,Comp Mushr,1
34,11742360,21400.60983,11708,4497,1.818192514,Peppers&Hot,Produce,Green Pepp,6
35,12762899,20599.04923,5103,2311,3.342316438,Other Fruit,Produce,Strawberri,1
36,11673668,20154.58434,2734,1176,6.248967964,Horticultur,Floral,Tulip Bouq,1
37,11696659,20031.7073,3287,1528,5.570529426,Beef,Meat,Extra Lean,1
38,11662192,19938.80902,2154,946,8.607100153,Chicken,Meat,Prime Chic,2
39,11741019,19328.9308,2718,1341,7.154017063,Other Fruit,Produce,Cherries R,1
40,11746238,19221.99915,4594,1150,3.665836358,Milk Produc,Dairy,Farmers Sk,1
41,11701521,19217.60952,7342,2600,1.653049003,Other Fruit,Produce,Mangoes,1
42,11608903,18933.01938,3595,1766,5.136096323,Peppers&Hot,Produce,Comp Rainb,1
43,11746233,18587.46946,4712,1118,3.664237064,Milk Produc,Dairy,Farmers Mi,1
44,11676841,18558.24641,2801,1151,5.418176515,Water,Grocery,Big 8 Spri,1
45,11621670,18428.11984,6362,2675,2.575468375,Cooking Veg,Produce,Corn Tray ,1
46,11746232,17374.17924,4329,1206,3.66241592,Milk Produc,Dairy,Farmers Mi,1
47,11745182,16817.76895,2431,751,6.70899347,Bistro,Home Meal Re,Spicy Roll,2
48,13960220,16699.06809,4650,1687,3.435486914,Bulk Food,Bulk,MyOwn Sens,1
49,11675063,16672.35832,2868,738,5.509018925,Milk Produc,Dairy,Farmers Sk,2
50,11659745,16593.71976,5043,1629,2.635194439,Bread Produ,Commercial B,Bens Holsu,1
51,11712767,16530.65987,4332,1321,3.671594261,Milk Produc,Dairy,Farmers 1%,1
