ITEM_SK,TotalRevenue,TransactionCount,CustomerCount,AvgPrice,Category,Department,ItemDesc
11740941,126515.9695,87545,16445,1.404497263,Banana,Produce,Bananas
11740923,78940.47849,26762,7151,1.436358086,Other Fruit,Produce,Avocado Ha
11680016,72298.68816,11766,290,5.94154047,Services - ,Services,On Line Lo
11610106,59209.60202,6200,2272,9.49039808,HMR Chicken,Home Meal Re,GourmMin B
11686823,55806.38884,16244,5800,3.128515611,Eggs,Dairy,Comp Eggs 
11741143,44282.30567,8602,3515,5.144975704,Other Fruit,Produce,Red Seedle
11685694,43996.07196,4472,2505,8.248265779,Chicken,Meat,Chicken Br
11740964,40649.78793,9287,3424,3.839183816,Other Fruit,Produce,Strawberri
12518517,39994.93839,4771,1252,7.038494584,,,UNKNOWN PR
11696675,39570.41129,4207,2320,8.976952515,Beef,Meat,Lean Groun
11743201,38774.64965,17379,6173,1.954537731,Salad Items,Produce,English Cu
11611881,37650.79929,15657,5537,2.399857765,Tomatoes,Produce,Red Cluste
11741127,33671.72695,6419,2792,5.267037289,Other Fruit,Produce,Green Seed
11741816,32687.76968,9866,3842,3.008923468,Cooking Veg,Produce,Broccoli
11686839,31361.93919,8692,3493,3.225057653,Eggs,Dairy,Comp Eggs 
14388093,30793.58502,3395,1501,8.494049817,Chicken,Meat,Sensatns C
11741274,29152.35964,15394,5320,1.104522247,Citrus,Produce,Lemons Lar
11742966,28776.47994,13197,3711,2.026944452,Other Fruit,Produce,Red Seedle
11745837,28387.55971,12293,4681,2.302220159,Peppers&Hot,Produce,Red Bell S
13881134,26841.30229,3239,1543,7.920603004,Fin-Fish Fr,Seafood,Haddock Fi
11832850,26532.83014,2966,1280,8.306458181,Fin-Fish Fr,Seafood,Atl Sal Po
11639874,25791.17197,2811,1495,8.871604242,Beef,Meat,Medium Gro
11742736,24824.71947,11915,4525,2.075463005,Tomatoes,Produce,Hothouse T
11742461,24803.06974,9891,3701,2.48536546,Potatoes,Produce,Potatoes S
11600537,24395.59869,6030,2773,3.5927577,Other Fruit,Produce,Strawberri
11696680,24269.21699,4182,1954,5.205895796,Beef,Meat,Lean Groun
11659747,23618.24947,7260,2368,2.608291097,Bread Produ,Commercial B,Bens Holsu
11740989,23356.92951,6594,2476,2.999658574,Other Fruit,Produce,Blueberrie
11600129,22686.28956,7807,2788,2.892198273,Citrus,Produce,Oranges Lg
